pic number,num of words,Dynamic,contours
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,9,9,7
5,11,11,11
6,12,10,12
7,11,11,10
8,7,7,7
9,0,0,0
10,0,0,
11,13,10,9
12,13,13,13
13,13,3,13
14,11,11,11
15,0,0,0
16,4,3,1
17,0,0,0
18,0,0,0
19,0,0,0
20,12,12,10
21,0,0,0
22,11,11,11
23,0,0,0
24,11,11,11
25,0,0,0
26,13,13,13
27,0,0,0
28,1,0,0
29,0,0,0
30,12,10,12
31,10,10,10
32,12,11,12
33,11,11,11
34,9,8,9
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
