pic number,num of words,Dynamic,contours
3,7,6,3
4,9,9,6
5,8,7,5
8,9,4,6
9,8,8,3
10,9,9,3
11,9,5,4
12,3,2,3
15,8,5,4
16,9,7,8
17,8,6,5
18,10,9,10
19,5,3,4
22,8,7,5
23,8,8,6
24,9,7,5
25,9,9,7
26,8,8,7
27,9,9,7
28,5,4,3
