Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.798191068,3.354060675,0,0.819672131,4.249104956,0,0,3.127944225,0.489918975,0.07537215,2.459016393,0,6.491426418,0.734878462,0.574712644,0,0.329753156,1.714716412,0.9044658,3.184473337,1.620501225,11.76747692,0,7.292255512,0,0,0
2,1.202886929,3.448275862,0,10.34482759,3.528468324,0,0,1.162790698,0,1.202886929,0,2.285485164,6.014434643,1.162790698,1.24298316,1.162790698,0,3.408179631,0,0,3.568564555,3.728949479,0,4.490777867,0,0,0
10,2.070902071,0.503100503,0,0.093600094,3.311103311,0,0,2.293202293,1.907101907,0.807300807,2.146952147,1.047151047,4.738504739,1.643851644,2.784602785,1.351351351,1.602901603,0.953550954,0,1.152451152,1.269451269,2.995202995,0,2.521352521,0,0,0
11,3.212385099,0.769230769,1.538461538,1.257861635,2.665699081,0,0,1.262699565,0.628930818,9.641993227,0.628930818,1.049830672,10.27092404,1.611030479,3.492985002,1.67876149,0,1.465892598,2.864054185,4.968553459,4.126753749,0.638606676,0,13.15432995,0,0,0
12,5.263157895,0,0,0,1.393188854,0,0,16.9504644,0,14.47368421,0,0,3.250773994,0,6.501547988,0,1.315789474,0.619195046,0,2.089783282,3.947368421,9.287925697,0,10.44891641,0,0,0
13,4.761904762,1.960784314,0,1.680672269,2.801120448,0,0,4.481792717,2.100840336,21.56862745,0.980392157,0,2.661064426,0.140056022,0.56022409,0,0.420168067,1.820728291,0.280112045,0.140056022,4.06162465,5.042016807,0,10.92436975,0,0,0
14,3.724053724,0,0,0,3.968253968,0,0,2.716727717,4.731379731,1.251526252,0,0,9.401709402,9.157509158,2.564102564,0,0,6.288156288,0,6.288156288,5.21978022,3.021978022,0,13.52258852,0,0,0
15,3.04772858,0.843396588,0,0,0.440866398,0,0,0.709219858,5.673758865,0.575043128,2.702702703,1.418439716,0.80506038,2.127659574,1.859306115,0.709219858,0,3.852788959,0,0,6.747172705,0.575043128,0,3.277745831,0,2.702702703,0
16,3.75,1.25,0,0,0,0,0,0,2.5,5,2.916666667,3.75,9.583333333,2.291666667,8.75,1.25,3.125,1.25,0,0,6.458333333,6.25,2.083333333,0.208333333,0,0,0
17,3.338992643,3.50877193,0,2.320316921,7.243916242,0,0,7.979626486,0,4.640633843,1.754385965,0,4.018109791,1.754385965,9.790605546,2.150537634,1.754385965,1.358234295,1.075268817,4.470854556,2.546689304,1.924165252,0,1.3016412,0,0,0
18,0.445402299,1.58045977,0,2.600574713,4.856321839,0,0,1.91091954,0.531609195,0.287356322,0.201149425,0.416666667,3.433908046,0.718390805,0.114942529,0.201149425,0.775862069,0.287356322,1.091954023,0.129310345,2.744252874,3.16091954,0,3.045977011,0,0,0
19,2.708943089,1.2,0,2.07804878,0.72195122,0,0,3.14796748,4.143089431,1.304065041,1.98699187,2.4,0.247154472,1.343089431,0.917073171,1.23902439,0.01300813,0.77398374,0.41300813,0.38699187,1.095934959,0.05203252,0,2.673170732,0,0,0
20,4.203296703,1.401098901,0,2.197802198,13.68131868,0,0,0.989010989,0,8.186813187,0,0,4.89010989,0,9.203296703,0,0,1.401098901,3.296703297,1.401098901,2.994505495,18.32417582,0,0.302197802,0,0,0
