Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1_1,7.4074074074074066,5.185185185185184,0.0,0.0,8.148148148148147,0.0,0.0,7.4074074074074066,1.4814814814814814,3.7037037037037033,0.0,0.0,8.888888888888891,2.2222222222222223,0.7407407407407407,0.0,0.0,4.4444444444444455,2.2222222222222223,6.666666666666666,9.629629629629632,29.629629629629626,0.0,2.2222222222222223,0.0,0.0,0.0
1_2,4.3478260869565215,5.590062111801242,0.0,0.6211180124223602,11.180124223602483,0.0,0.0,6.211180124223603,1.2422360248447204,4.3478260869565215,1.8633540372670807,0.0,5.590062111801242,1.8633540372670807,0.0,0.0,1.8633540372670807,4.9689440993788825,0.6211180124223602,10.559006211180122,14.285714285714285,18.01242236024845,0.0,6.832298136645963,0.0,0.0,0.0
10_1,13.368983957219253,1.6042780748663104,0.0,3.2085561497326207,6.951871657754011,0.0,0.0,2.1390374331550803,4.812834224598932,1.6042780748663104,0.0,1.0695187165775402,22.994652406417114,2.1390374331550803,6.951871657754011,1.0695187165775402,2.6737967914438503,2.1390374331550803,0.0,2.1390374331550803,10.695187165775401,1.0695187165775402,0.0,13.368983957219253,0.0,0.0,0.0
10_2,15.343915343915345,1.5873015873015872,0.0,3.1746031746031744,4.761904761904762,0.0,0.0,4.232804232804233,2.6455026455026456,5.820105820105821,2.6455026455026456,1.5873015873015872,16.402116402116402,3.7037037037037033,7.936507936507938,0.5291005291005291,0.5291005291005291,1.5873015873015872,0.0,0.5291005291005291,8.994708994708995,3.1746031746031744,0.0,14.814814814814813,0.0,0.0,0.0
100_1,3.669724770642202,11.009174311926609,0.0,5.504587155963304,4.587155963302751,0.0,0.0,3.669724770642202,0.9174311926605504,17.431192660550455,1.834862385321101,0.9174311926605504,11.009174311926609,9.174311926605503,3.669724770642202,7.339449541284404,0.0,3.669724770642202,0.0,4.587155963302751,2.752293577981652,2.752293577981652,0.0,5.504587155963304,0.0,0.0,0.0
100_2,3.7383177570093458,12.149532710280376,0.0,4.672897196261682,0.9345794392523364,0.0,0.0,4.672897196261682,0.9345794392523364,2.803738317757009,0.0,0.0,17.757009345794394,4.672897196261682,6.542056074766355,8.411214953271028,0.9345794392523364,4.672897196261682,1.8691588785046729,4.672897196261682,7.4766355140186915,3.7383177570093458,0.0,9.345794392523365,0.0,0.0,0.0
101_1,9.09090909090909,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,21.21212121212121,0.0,30.303030303030305,0.0,0.0,0.0,0.0,0.0,15.151515151515152,0.0,0.0,18.18181818181818,0.0,0.0,0.0
101_2,2.272727272727273,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,4.545454545454546,2.272727272727273,0.0,18.181818181818183,6.8181818181818175,34.09090909090909,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,20.454545454545453,0.0,0.0,0.0
102_1,8.860759493670887,0.0,0.0,7.59493670886076,17.721518987341774,0.0,0.0,5.063291139240507,2.5316455696202533,11.39240506329114,1.2658227848101269,0.0,16.455696202531648,1.2658227848101269,5.063291139240507,0.0,3.79746835443038,1.2658227848101269,2.5316455696202533,0.0,6.329113924050633,3.79746835443038,0.0,5.063291139240507,0.0,0.0,0.0
102_2,13.698630136986301,0.0,0.0,6.849315068493151,9.58904109589041,0.0,0.0,4.10958904109589,2.73972602739726,15.068493150684931,0.0,0.0,17.808219178082194,0.0,5.479452054794519,0.0,1.3698630136986298,4.10958904109589,4.10958904109589,4.10958904109589,4.10958904109589,0.0,1.3698630136986298,5.479452054794519,0.0,0.0,0.0
103_1,0.0,0.0,0.0,0.0,1.8867924528301887,0.0,0.0,3.7735849056603774,3.7735849056603774,1.8867924528301887,0.0,0.0,33.9622641509434,7.547169811320754,9.433962264150944,1.8867924528301887,0.0,1.8867924528301887,0.0,0.0,11.320754716981131,5.660377358490566,0.0,16.9811320754717,0.0,0.0,0.0
103_2,9.333333333333332,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,6.666666666666666,0.0,8.0,0.0,0.0,21.33333333333333,0.0,8.0,2.6666666666666665,0.0,4.0,0.0,0.0,17.333333333333332,6.666666666666666,0.0,13.333333333333332,0.0,0.0,0.0
